,ref_name,concrete_strength,Transverse_yield_max,Longitudinal_yield_max_cor,Longitudinal_yield_max_inter,section,length,load,diameter,num_bar,cover,reinforce_ratio,tran_type,num_tran,close_spacing,tran_ratio,span_to_depth_ratio,axial_load_ratio
10,"Saatcioglu and Ozcebe 1989, U4",32 (MPa),Yield Stress: 470 (MPa) Strength: 0 (MPa),Corner Yield Stress: 438 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 438 (MPa) Strength: 0 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,000 (mm) L-Measured: 1,000 (mm)",600 (kN),25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 22.5 (mm) Number of intermediate bars: 1,0.0321,R: Rectangular ties (around perimeter),2,Bar Diameter: 10 (mm) Hoop Sets: 0 Hoop Spacing: 50 (mm),0.025,2.86,0.153
11,"Saatcioglu and Ozcebe 1989, U6",37.3 (MPa),Yield Stress: 425 (MPa) Strength: 0 (MPa),Corner Yield Stress: 437 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 437 (MPa) Strength: 0 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,000 (mm) L-Measured: 1,000 (mm)",600 (kN),25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 26 (mm) Number of intermediate bars: 1,0.0321,RJ: Rectangular ties with J-hooks,6,Bar Diameter: 6.4 (mm) Hoop Sets: 0 Hoop Spacing: 65 (mm),0.02,2.86,0.131
12,"Saatcioglu and Ozcebe 1989, U7",39 (MPa),Yield Stress: 425 (MPa) Strength: 0 (MPa),Corner Yield Stress: 437 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 437 (MPa) Strength: 0 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,000 (mm) L-Measured: 1,000 (mm)",600 (kN),25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 26 (mm) Number of intermediate bars: 1,0.0321,RJ: Rectangular ties with J-hooks,6,Bar Diameter: 6.4 (mm) Hoop Sets: 0 Hoop Spacing: 65 (mm),0.02,2.86,0.126
13,"Wehbe et al. 1998, A1",27.2 (MPa),Yield Stress: 428 (MPa) Strength: 738 (MPa),Corner Yield Stress: 448 (MPa) Strength: 731 (MPa),Intermediate Yield Stress: 448 (MPa) Strength: 731 (MPa),Width: 380 (mm) Depth: 610 (mm)," L-Inflection: 2,335 (mm) L-Measured: 2,335 (mm)",615 (kN),19.1 (mm) corner bars | 19.1 (mm) intermediate bars,18,Clear cover: 28 (mm) Number of intermediate bars: 2,0.0222,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6 (mm) Hoop Sets: 9 Hoop Spacing: 110 (mm),0.004,3.83,0.098
14,"Wehbe et al. 1998, A2",27.2 (MPa),Yield Stress: 428 (MPa) Strength: 738 (MPa),Corner Yield Stress: 448 (MPa) Strength: 731 (MPa),Intermediate Yield Stress: 448 (MPa) Strength: 731 (MPa),Width: 380 (mm) Depth: 610 (mm)," L-Inflection: 2,335 (mm) L-Measured: 2,335 (mm)","1,505 (kN)",19.1 (mm) corner bars | 19.1 (mm) intermediate bars,18,Clear cover: 28 (mm) Number of intermediate bars: 2,0.0222,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6 (mm) Hoop Sets: 9 Hoop Spacing: 110 (mm),0.004,3.83,0.239
15,"Wehbe et al. 1998, B1",28.1 (MPa),Yield Stress: 428 (MPa) Strength: 738 (MPa),Corner Yield Stress: 448 (MPa) Strength: 731 (MPa),Intermediate Yield Stress: 448 (MPa) Strength: 731 (MPa),Width: 380 (mm) Depth: 610 (mm)," L-Inflection: 2,335 (mm) L-Measured: 2,335 (mm)",601 (kN),19.1 (mm) corner bars | 19.1 (mm) intermediate bars,18,Clear cover: 25 (mm) Number of intermediate bars: 2,0.0222,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6 (mm) Hoop Sets: 11 Hoop Spacing: 83 (mm),0.005,3.83,0.092
16,"Wehbe et al. 1998, B2",28.1 (MPa),Yield Stress: 428 (MPa) Strength: 738 (MPa),Corner Yield Stress: 448 (MPa) Strength: 731 (MPa),Intermediate Yield Stress: 448 (MPa) Strength: 731 (MPa),Width: 380 (mm) Depth: 610 (mm)," L-Inflection: 2,335 (mm) L-Measured: 2,335 (mm)","1,514 (kN)",19.1 (mm) corner bars | 19.1 (mm) intermediate bars,18,Clear cover: 25 (mm) Number of intermediate bars: 2,0.0222,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6 (mm) Hoop Sets: 11 Hoop Spacing: 83 (mm),0.005,3.83,0.232
17,"Nosho et al. 1996, No. 1",40.6 (MPa),Yield Stress: 351 (MPa) Strength: 390 (MPa),Corner Yield Stress: 407 (MPa) Strength: 659 (MPa),Intermediate Yield Stress: 407 (MPa) Strength: 659 (MPa),Width: 279.4 (mm) Depth: 279.4 (mm)," L-Inflection: 2,134 (mm) L-Measured: 2,134 (mm)","1,076 (kN)",15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 25.4 (mm) Number of intermediate bars: 0,0.0101,R: Rectangular ties (around perimeter),2,Bar Diameter: 6.3 (mm) Hoop Sets: 11 Hoop Spacing: 228.6 (mm),0,7.64,0.339
18,"Bayrak and Sheikh 1996, ES-1HT",72.1 (MPa),Yield Stress: 463 (MPa) Strength: 648 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","3,354 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 11.5 (mm) Number of intermediate bars: 1,0.0258,R: Rectangular ties (around perimeter),2,Bar Diameter: 16 (mm) Hoop Sets: 15 Hoop Spacing: 95 (mm),0.032,6.04,0.5
19,"Bayrak and Sheikh 1996, AS-2HT",71.7 (MPa),Yield Stress: 542 (MPa) Strength: 683 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","2,401 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 14 (mm) Number of intermediate bars: 1,0.0258,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 16 Hoop Spacing: 90 (mm),0.028,6.04,0.36
20,"Bayrak and Sheikh 1996, AS-3HT",71.8 (MPa),Yield Stress: 542 (MPa) Strength: 683 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","3,340 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 14 (mm) Number of intermediate bars: 1,0.0258,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 16 Hoop Spacing: 90 (mm),0.028,6.04,0.5
21,"Bayrak and Sheikh 1996, AS-4HT",71.9 (MPa),Yield Stress: 463 (MPa) Strength: 648 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","3,344 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 11.5 (mm) Number of intermediate bars: 1,0.0258,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 16 (mm) Hoop Sets: 15 Hoop Spacing: 100 (mm),0.051,6.04,0.5
22,"Bayrak and Sheikh 1996, AS-5HT",101.8 (MPa),Yield Stress: 463 (MPa) Strength: 648 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","4,261 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 11.5 (mm) Number of intermediate bars: 1,0.0258,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 16 (mm) Hoop Sets: 16 Hoop Spacing: 90 (mm),0.04,6.04,0.45
23,"Bayrak and Sheikh 1996, AS-6HT",101.9 (MPa),Yield Stress: 463 (MPa) Strength: 648 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","4,360 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 11.5 (mm) Number of intermediate bars: 1,0.0258,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 16 (mm) Hoop Sets: 19 Hoop Spacing: 76 (mm),0.067,6.04,0.46
24,"Bayrak and Sheikh 1996, AS-7HT",102 (MPa),Yield Stress: 542 (MPa) Strength: 683 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","4,270 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 14 (mm) Number of intermediate bars: 1,0.0258,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 16 Hoop Spacing: 94 (mm),0.027,6.04,0.45
25,"Bayrak and Sheikh 1996, ES-8HT",102.2 (MPa),Yield Stress: 463 (MPa) Strength: 648 (MPa),Corner Yield Stress: 454 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 454 (MPa) Strength: 700 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 1,842 (mm) L-Measured: 1,473 (mm)","4,468 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 11.5 (mm) Number of intermediate bars: 1,0.0258,R: Rectangular ties (around perimeter),2,Bar Diameter: 16 (mm) Hoop Sets: 22 Hoop Spacing: 70 (mm),0.043,6.04,0.47
26,"Saatcioglu and Grira 1999, BG-1",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,782 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 29 (mm) Number of intermediate bars: 1,0.0195,RI: Rectangular and interlocking ties,3,Bar Diameter: 9.5 (mm) Hoop Sets: 11 Hoop Spacing: 152 (mm),0.01,4.7,0.428
27,"Saatcioglu and Grira 1999, BG-2",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,782 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 29 (mm) Number of intermediate bars: 1,0.0195,RI: Rectangular and interlocking ties,3,Bar Diameter: 9.5 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.02,4.7,0.428
28,"Saatcioglu and Grira 1999, BG-3",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)",831 (kN),19.5 (mm) corner bars | 19.5 (mm) intermediate bars,8,Clear cover: 29 (mm) Number of intermediate bars: 1,0.0195,RI: Rectangular and interlocking ties,3,Bar Diameter: 9.5 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.02,4.7,0.2
29,"Saatcioglu and Grira 1999, BG-4",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,923 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,12,Clear cover: 29 (mm) Number of intermediate bars: 2,0.0293,RI: Rectangular and interlocking ties,4,Bar Diameter: 9.5 (mm) Hoop Sets: 11 Hoop Spacing: 152 (mm),0.013,4.7,0.462
30,"Saatcioglu and Grira 1999, BG-5",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,923 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,12,Clear cover: 29 (mm) Number of intermediate bars: 2,0.0293,RI: Rectangular and interlocking ties,4,Bar Diameter: 9.5 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.027,4.7,0.462
31,"Saatcioglu and Grira 1999, BG-6",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 477.8 (MPa) Strength: 700 (MPa),Intermediate Yield Stress: 477.8 (MPa) Strength: 700 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,900 (kN)",29.9 (mm) corner bars | 29.9 (mm) intermediate bars,4,Clear cover: 29 (mm) Number of intermediate bars: 0,0.0229,RI: Rectangular and interlocking ties,4,Bar Diameter: 9.5 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.027,4.7,0.456
32,"Saatcioglu and Grira 1999, BG-7",34 (MPa),Yield Stress: 580 (MPa) Strength: 720 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,923 (kN)",19.5 (mm) corner bars | 19.5 (mm) intermediate bars,12,Clear cover: 29 (mm) Number of intermediate bars: 2,0.0293,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.6 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.013,4.7,0.462
33,"Saatcioglu and Grira 1999, BG-8",34 (MPa),Yield Stress: 580 (MPa) Strength: 720 (MPa),Corner Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Intermediate Yield Stress: 455.6 (MPa) Strength: 660 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)",961 (kN),19.5 (mm) corner bars | 19.5 (mm) intermediate bars,12,Clear cover: 29 (mm) Number of intermediate bars: 2,0.0293,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.6 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.013,4.7,0.231
34,"Saatcioglu and Grira 1999, BG-9",34 (MPa),Yield Stress: 580 (MPa) Strength: 720 (MPa),Corner Yield Stress: 427.8 (MPa) Strength: 675 (MPa),Intermediate Yield Stress: 427.8 (MPa) Strength: 675 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,923 (kN)",16 (mm) corner bars | 16 (mm) intermediate bars,20,Clear cover: 29 (mm) Number of intermediate bars: 4,0.0328,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.6 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.013,4.7,0.462
35,"Saatcioglu and Grira 1999, BG-10",34 (MPa),Yield Stress: 570 (MPa) Strength: 680 (MPa),Corner Yield Stress: 427.8 (MPa) Strength: 675 (MPa),Intermediate Yield Stress: 427.8 (MPa) Strength: 675 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,645 (mm) L-Measured: 1,645 (mm)","1,923 (kN)",16 (mm) corner bars | 16 (mm) intermediate bars,20,Clear cover: 29 (mm) Number of intermediate bars: 4,0.0328,RI: Rectangular and interlocking ties,4,Bar Diameter: 9.5 (mm) Hoop Sets: 22 Hoop Spacing: 76 (mm),0.027,4.7,0.462
36,"Matamoros et al. 1999,C10-05N",69.6 (MPa),Yield Stress: 406.8 (MPa) Strength: 639.5 (MPa),Corner Yield Stress: 586.1 (MPa) Strength: 739.5 (MPa),Intermediate Yield Stress: 586.1 (MPa) Strength: 739.5 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),142 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 40 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0.05
37,"Matamoros et al. 1999,C10-05S",69.6 (MPa),Yield Stress: 406.8 (MPa) Strength: 639.5 (MPa),Corner Yield Stress: 586.1 (MPa) Strength: 739.5 (MPa),Intermediate Yield Stress: 586.1 (MPa) Strength: 739.5 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),142 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 39.8 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0.05
38,"Matamoros et al. 1999,C10-10N",67.8 (MPa),Yield Stress: 513.7 (MPa) Strength: 760.2 (MPa),Corner Yield Stress: 572.3 (MPa) Strength: 730.8 (MPa),Intermediate Yield Stress: 572.3 (MPa) Strength: 730.8 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),285 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 25.8 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0.102
39,"Matamoros et al. 1999,C10-10S",67.8 (MPa),Yield Stress: 514.7 (MPa) Strength: 761.2 (MPa),Corner Yield Stress: 573.3 (MPa) Strength: 731.8 (MPa),Intermediate Yield Stress: 573.3 (MPa) Strength: 731.8 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),285 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 23.8 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 77.2 (mm),0.01,3,0.102
40,"Matamoros et al. 1999,C10-20N",65.5 (MPa),Yield Stress: 513.7 (MPa) Strength: 760.2 (MPa),Corner Yield Stress: 572.3 (MPa) Strength: 730.8 (MPa),Intermediate Yield Stress: 572.3 (MPa) Strength: 730.8 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),569 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 22 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0.211
41,"Matamoros et al. 1999,C10-20S",65.5 (MPa),Yield Stress: 514.7 (MPa) Strength: 761.2 (MPa),Corner Yield Stress: 573.3 (MPa) Strength: 731.8 (MPa),Intermediate Yield Stress: 573.3 (MPa) Strength: 731.8 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),569 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 14.6 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 77.2 (mm),0.01,3,0.211
42,"Matamoros et al. 1999,C5-00N",37.9 (MPa),Yield Stress: 513.7 (MPa) Strength: 760.2 (MPa),Corner Yield Stress: 572.3 (MPa) Strength: 729.1 (MPa),Intermediate Yield Stress: 572.3 (MPa) Strength: 729.1 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),0 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 24 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0
