,name,pub_year,author_1st,author_2nd,magazine,key_words
26,Experimental study on seismic performance of partially precast steel reinforced concrete columns,15 November 2018,Yong,Yicong,Engineering Structures,"['Steel reinforced concrete columns', 'Precast structures', 'Cyclic loading tests', 'Reactive powder concrete', 'Seismic performance']"
27,Shaking table tests on seismic behavior of polypropylene fiber reinforced concrete tunnel lining,June 2019,C.L.,Z.Z.,Tunnelling and Underground Space Technology,"['Tunnel lining structures', 'Shaking table test', 'Seismic dynamic behavior', 'Polypropylene fiber reinforced concrete']"
28,"Seismic performance of reinforce concrete buildings designed according to codes in Bangladesh, India and U.S.",1 April 2018,Muhammad,Sagar M.,Engineering Structures,"['ASCE 7-10', 'BNBC-1993', 'IS-1893', 'Building code', 'Nonlinear response history analysis', 'Reinforced concrete frame', 'Seismic performance']"
29,Experimental study on seismic behaviours of hybrid FRP–steel-reinforced ECC–concrete composite columns,1 November 2019,Fang,Mengcheng,Composites Part B: Engineering,"['Engineered cementitious composite (ECC)', 'Fibre-reinforced polymer (FRP)', 'Hybrid-reinforced', 'Composite column', 'Experiment', 'Seismic behaviour', 'Ductility']"
30,Seismic design of three damage-resistant reinforced concrete shear walls detailed with self-centering reinforcement,15 May 2020,Mohammad J.,Carlos A.,Engineering Structures,[]
31,Seismic performance of recycled aggregate concrete-filled glass fibre-reinforced polymer-steel composite tube columns,20 November 2019,Shu,Feng,Construction and Building Materials,"['Recycled aggregate concrete', 'Sustainable development', 'FRP-steel composite tube', 'Seismic performance', 'Building lifecycle']"
32,Numerical-aided design of fiber reinforced concrete tunnel segment joints subjected to seismic loads,10 May 2018,Mohammad,Abdollah,Construction and Building Materials,"['Segmental tunnel', 'Segmental joint', 'Steel fiber reinforced concrete', 'Hybrid fiber', 'Seismic performance']"
33,Seismic damage performance of the steel fiber reinforced face slab in the concrete-faced rockfill dam,April 2019,Yongqian,Degao,Soil Dynamics and Earthquake Engineering,"['Concrete-faced rockfill dam (CFRD)', 'Steel fiber reinforced concrete', 'Plastic damage model', 'Generalized plasticity model']"
34,Seismic behavior of composite columns with steel reinforced ECC permanent formwork and infilled concrete,1 June 2020,Zuanfeng,Yazhi,Engineering Structures,"['Engineered cementitious composite (ECC)', 'Permanent formwork', 'Steel reinforced column', 'Seismic behavior', 'Energy dissipation', 'Ductility']"
35,A hybrid force/displacement seismic design method for reinforced concrete moment resisting frames,February 2020,Chao,Jiang,Soil Dynamics and Earthquake Engineering,"['Performance-based seismic design', 'HFD seismic design', 'Behavior factor', 'Reinforced concrete structures', 'Moment resisting frames', 'Inter-storey drift', 'Plastic rotation', 'Roof displacement', 'Effective stiffness']"
36,Response modification factors for seismic design of steel Fiber Reinforced Concrete segmental tunnels,30 June 2019,Mohammad,NONE,Construction and Building Materials,"['Fiber Reinforced Concrete', 'Steel fibers', 'Response modification factor', 'Segmental tunnel', 'Seismic design', 'R-factor']"
37,Experimental evaluation of seismic performance of unbonded prestressed reinforced concrete column,1 April 2020,Xiaoxian,Jianzhong,Engineering Structures,"['Unbonded prestressing bar', 'Residual crack width', 'Residual displacement', 'Self-centering', 'Bridge column']"
38,Size effect on seismic performance of high-strength reinforced concrete columns subjected to monotonic and cyclic loading,15 March 2019,Zhenbao,Chunyi,Engineering Structures,"['Size effect', 'Seismic performance', 'High-strength reinforced concrete columns', 'Factor of safety', 'Local factor of safety', 'Moment capacity']"
39,Seismic fragility analysis of steel reinforced concrete frame structures based on different engineering demand parameters,November 2018,Chengxiang,Jie,Journal of Building Engineering,"['Steel Reinforced Concrete (SRC) frame structures', 'Seismic damage index', 'OpenSees', 'Seismic fragility analysis']"
40,Experimental investigation of effect of section configuration on seismic performance of an innovative integrated concrete masonry wall system,1 March 2020,Bin,Xu,Engineering Structures,"['Section type', 'Infill wall', 'Reinforced masonry', 'Cyclic loading', 'Seismic performance']"
41,Seismic performance of mortarless reinforced masonry walls,September 2020,Liang,Yiqiu,Journal of Building Engineering,"['Reinforced masonry', 'Mortarless walls', 'Seismic behaviour', 'Deformation capacity', 'Equivalent viscous damping']"
42,Seismic performance of reinforced concrete beam–column joint strengthening by frp sheets,August 2019,Nassereddine,Youcef Si,Structures,"['Beam column-joint', 'Strengthening', 'Seismic performance', 'Hybrid FRP', 'Fibre reinforced polymer']"
43,Improving the seismic behaviour of reinforced concrete moment resisting frames by means of SMA bars and ultra-high performance concrete,15 October 2019,A.,José L.,Engineering Structures,"['Shape memory alloys', 'Ultra-high performance concrete', 'Earthquake engineering', 'Pushover analysis', 'Incremental dynamic analysis', 'Ductility']"
44,Effects of high-strength reinforcing bars and concrete on seismic behavior of RC beam-column joints,15 March 2019,Sayedmahdi,Davood,Engineering Structures,"['High-strength steel reinforcement', 'High-strength concrete', 'Reinforced concrete', 'Beam-column joints', 'Seismic performance', 'Finite-element analysis']"
45,Seismic fragility analysis of shear-critical concrete columns considering corrosion induced deterioration effects,July 2020,Ji-Gang,Gang,Soil Dynamics and Earthquake Engineering,"['Seismic fragility', 'Reinforced concrete column', 'Shear failure', 'Flexure-shear interaction', 'Corrosion effect']"
46,Seismic behavior of steel tube confined reinforced concrete double-column bridge bents,March 2020,Haicui,Xuhong,Journal of Constructional Steel Research,"['Double-column bent', 'Bridge pier', 'Steel tube confined reinforced concrete', 'Seismic behavior', 'Lateral resistance']"
47,Seismic behavior of dumb-bell steel tube confined reinforced concrete piers,1 March 2020,Xuhong,Haicui,Engineering Structures,"['Dumb-bell RC pier', 'Dumb-bell steel tube confined RC pier', 'Seismic behavior', 'Lateral resistance model']"
48,Performance evaluation of structures with reinforced concrete columns retrofitted with steel jacketing,101510,Sergio,Andrés,Journal of Building Engineering,"['Seismic performance', 'Seismic retrofitting', 'RC buildings', 'Nonlinear modeling', 'Steel jacketing']"
49,Experimental study on seismic performance of glulam-concrete composite beam-to-column joints,15 March 2020,Jing,Xiamin,Composite Structures,"['Timber-concrete composite structures', 'Beam-to-column joints', 'Connection types', 'Seismic performance', 'Initial rotational stiffness']"
50,Experimental study of seismic performance of full-scale basalt FRP-recycled aggregate concrete-steel tubular columns,June 2020,Lan,Lijuan,Thin-Walled Structures,"['Basalt fiber-reinforced polymer (BFRP) tube', 'Recycled aggregate concrete (RAC)', 'Steel tube', 'Composite column', 'Seismic behavior', 'Quasi-static test']"
51,Seismic performance evaluation of soil-foundation-reinforced concrete frame systems by endurance time method,March 2019,Jiulin,Shuangshuang,Soil Dynamics and Earthquake Engineering,"['Endurance time method', 'Seismic performance', 'Soil-structure-interaction system', 'Reinforced concrete frame']"
52,Perforeinfmance-based seismic assessment of rorced concrete moment resisting frames,Available online 15 April 2020,Mohd.,Keshav K.,Journal of King Saud University - Engineering Sciences,"['Performance-based seismic evaluation', 'Example building', 'Nonlinear static pushover analysis', 'Seismic performance', 'Modification factor']"
53,Seismic performance of steel plate reinforced high toughness concrete coupling beams with different steel plate ratios,15 February 2019,Wei,Shilang,Composites Part B: Engineering,"['Coupling beams', 'High toughness concrete (HTC)', 'Strain-hardening cementitious composites (SHCC)', 'Steel plate', 'Seismic performance', 'Steel plate ratios']"
54,Experimental study of seismic behavior of partially corrosion-damaged reinforced concrete columns strengthened with FRP composites with large deformability,10 December 2018,Xiongfei,Yue,Construction and Building Materials,"['Partially corroded reinforced concrete columns', 'Large rupture strain', 'CFRP', 'PET-600', 'Anti-seismic performance']"
55,Seismic performance of innovative hybrid precast reinforced concrete beam-to-column connections,1 January 2020,Haider Hamad,Hashim,Engineering Structures,"['Cyclic loading', 'Grouted couplers', 'Hybrid beam-to-column connection', 'Precast connections', 'Seismic performance']"
56,Seismic resistance capacity of steel reinforced high-strength concrete columns with rectangular spiral stirrups,30 December 2019,Jianyang,Xin,Construction and Building Materials,"['Steel reinforced high-strength concrete', 'Seismic resistance', 'Rectangular spiral stirrup', 'High-strength concrete', 'Hysteresis loops', 'Columns']"
57,Seismic performance assessment of a precast concrete-encased CFST composite wall with twin steel tube connections,15 March 2020,Jing,Peng,Engineering Structures,"['Precast concrete-encased high-strength concrete-filled steel tube composite shear wall', 'Concrete-filled steel tube', 'Vertical connection', 'Quasi-static test', 'Seismic performance']"
58,Seismic design of reinforced concrete frames for minimum embodied CO,1 March 2018,Panagiotis E.,NONE,Energy and Buildings,"['Seismic design', 'Eurocode 8', 'Environment', 'Embodied', 'CO', 'Optimization', 'Reinforced concrete', 'Genetic algorithms']"
59,Seismic performance of reinforced concrete columns retrofitted by various methods,1 March 2017,Gia Toai,Jong-Chan,Engineering Structures,"['Seismic retrofit', 'Reinforced concrete columns', 'Steel jackets', 'Carbon fiber reinforced polymers', 'Concrete jackets', 'Shear strength', 'Nonlinear modeling parameters']"
60,Experimental study on seismic behavior of steel plate reinforced concrete composite shear wall,1 April 2018,Wei,Yan,Engineering Structures,"['Steel plate reinforced concrete composite shear wall', 'Composite shear wall', 'Cyclic loading tests', 'Seismic behavior', 'Hysteretic model']"
61,Experimental study on seismic performance of steel fiber reinforced high strength concrete composite shear walls with different steel fiber volume fractions,15 September 2018,Xilin,Ying,Engineering Structures,"['Ductility', 'Curvature', 'Hysteretic behavior', 'Seismic performance', 'Shear wall', 'Steel fiber']"
62,Seismic performance of shear-critical prefabricated reinforced masonry shear walls with innovative vertical joint connections,15 September 2020,Zhiming,Fenglai,Engineering Structures,"['Prefabricated reinforced masonry shear wall', 'Concrete masonry', 'Cyclic loading', 'Shear failure', 'Vertical joint', 'Seismic performance']"
63,Seismic behavior of composite interior joints of prefabricated H-shaped steel reinforced concrete column - steel beam,February 2020,Chenglong,Jiming,Structures,"['Prefabricated', 'Composite joint', 'Seismic performance', 'Quasi-static test']"
64,Experimental study on seismic performance of post-fire reinforced concrete frames,15 January 2019,Ling-Zhi,Xin,Engineering Structures,"['Reinforced concrete (RC) frame', 'Post-fire', 'Seismic performance', 'Bearing capacity', 'Stiffness degradation', 'Energy dissipation', 'Plastic hinge', 'Column-to-beam bending capacity ratio']"
65,Experimental study on seismic behavior of reinforced concrete frame in primary and middle schools with different strengthening methods,30 August 2019,Bo,Heng-Lin,Construction and Building Materials,"['Exterior cantilever frame', 'Strengthening', 'Retrofitting', 'Seismic performance', 'Ductility']"
66,Risk-based assessment of aftershock and mainshock-aftershock seismic performance of reinforced concrete frames,July 2018,Mehrdad,Henry V.,Structural Safety,"['Mainshock-aftershock performance assessment', 'Time-dependent risk assessment', 'Seismic hazard analysis', 'Reinforced concrete moment frames']"
67,Numerical seismic performance evaluation of concrete beam-column joint reinforced with different super elastic shape memory alloy rebars,1 September 2019,Mumtasirun,A.H.M.,Engineering Structures,"['Beam-column joint sub-assemblage', 'Shape memory alloy', 'Storey drift', 'Cyclic loading', 'Energy dissipation']"
68,Seismic retrofit design method using friction damping systems for old low- and mid-rise regular reinforced concrete buildings,1 September 2017,Ki Hoon,Sang Whan,Engineering Structures,"['Seismic retrofit', 'Friction damper', 'Braced frame', 'Damping system', 'Seismic performance', 'Reinforced concrete']"
69,Seismic behavior of concrete moment frame reinforced with GFRP bars,15 April 2019,Mojtaba,Alireza,Composites Part B: Engineering,"['GFRP bars', 'Seismic design', 'Moment frame', 'Pushover analysis']"
70,Seismic behaviour of hybrid-fibre reinforced concrete shear keys in immersed tunnels,June 2019,Zhong-Xian,Chang-Hui,Tunnelling and Underground Space Technology,"['Immersed tunnel', 'Seismic behaviours', 'Shear keys', 'Hybrid fibre reinforced concrete', 'Hysteretic tests', 'Analytical models']"
71,Seismic responses of reinforced concrete intermediate short columns failed in different modes,1 March 2020,XiangLin,JingJing,Engineering Structures,"['Reinforced concrete intermediate short column', 'Seismic response', 'Failure mode', 'Shear spring']"
72,Seismic retrofitting of rectangular bridge piers using ultra-high performance fiber reinforced concrete jackets,15 November 2019,Teng,Siqi,Composite Structures,"['Retrofitting', 'UHPFRC jackets', 'Cyclic loading', 'Fiber-based finite element']"
73,Optimal seismic retrofitting of reinforced concrete buildings by steel-jacketing using a genetic algorithm-based framework,15 September 2020,Fabio,Marzia,Engineering Structures,"['Steel jacketing', 'Retrofitting', 'Genetic algorithm', 'Pushover', 'Optimization']"
74,Experimental investigation of influences of several parameters on seismic capacity of masonry infilled reinforced concrete frame,15 June 2019,Hamood,Debasish,Engineering Structures,"['Masonry infill', 'Reinforced concrete buildings', 'Seismic capacity', 'Backbone curve', 'Equivalent strut width']"
75,Seismic performance of concrete-encased CFST column to steel beam joints with different connection details,1 February 2020,Wei,Li-Feng,Engineering Structures,"['Concrete-encased CFST', 'Steel beam', 'Joint', 'Connection details', 'Seismic behaviour']"
76,Seismic performance of RC frames with EPSC latticed concrete infill walls,15 October 2019,Baizan,Su,Engineering Structures,"['EPSC latticed concrete wall', 'RC frame', 'Shaking table test', 'Numerical analysis', 'Seismic performance']"
77,Seismic behavior of beam-column joints strengthened with ultra-high performance fiber reinforced concrete,15 September 2018,Muhammad Irfan,Mohammed Ali,Composite Structures,"['RC beam-column joint', 'UHPFRC jacketing', 'Sandblasting', 'Prefabricated UHPFRC plates', 'Reverse cyclic test', 'Seismic performance']"
78,Seismic performance of the concrete-encased CFST column to RC beam joint: Experiment,March 2019,Dan-Yang,Lin-Hai,Journal of Constructional Steel Research,"['Concrete-encased CFST', 'Reinforced concrete beam', 'Joint', 'Seismic performance', 'Cyclic loading']"
79,"Seismic assessment for typical soft-storey reinforced concrete structures in Bucharest, Romania",December 2019,Florin,Gabriel,International Journal of Disaster Risk Reduction,"['Vrancea seismic source', 'Fragility functions', 'Ground motion recordings', 'Structural collapse', 'Ultiamte displacement']"
80,Seismic behavior of concrete-filled double-skin steel tube/moment-resisting frames with beam-only-connected precast reinforced concrete shear walls,August 2019,Yi,Junhai,Archives of Civil and Mechanical Engineering,"['Concrete-filled double-skin steel tube', 'Composite structures', 'RC shear walls', 'Prefabricated structures', 'Seismic behavior']"
81,Seismic strengthening of low-strength RC concrete columns using low-cost glass fiber reinforced polymers (GFRPs),December 2020,Prachaya,Kittipoom,Case Studies in Construction Materials,"['Low-cost glass fiber', 'Low strength concrete', 'Non-engineered reinforced concrete column', 'Cyclic loading', 'Axial load']"
82,Analytical study on seismic performance of bed joint reinforced solid brick masonry walls,NONE,N.,P.,Materials Today: Proceedings,"['Unreinforced masonry', 'Reinforced masonry', 'Masonry wall', 'Damage index', 'Seismic performance']"
83,Seismic performance upgrade of RC frame buildings using precast bolt-connected steel-plate reinforced concrete frame-braces,15 September 2019,Xu-Yang,De-Cheng,Engineering Structures,"['Outside strengthening', 'Sub-structure', 'Precast', 'Steel-plate', 'Numerical model', 'Design procedure', 'Seismic upgrade', 'Dynamic response']"
84,Seismic behavior of precast concrete beam-column joints with steel strand inserts under cyclic loading,1 August 2020,JianBing,Wei,Engineering Structures,"['Beam-to-column joint', 'Finite element analysis', 'Precastconcrete', 'Seismic performance']"
85,Seismic response of a rocking bridge column using a precast hybrid fiber-reinforced concrete (HyFRC) tube,15 August 2017,Wilson,William,Composite Structures,"['Hybrid fiber-reinforced concrete', 'High-performance fiber-reinforced cementitious composites', 'Reinforced concrete', 'Seismic', 'Bridge column', 'Accelerated bridge construction']"
86,Improving seismic performance of non-ductile reinforced concrete frames through the combined behavior of friction and metallic dampers,1 October 2018,Chang-Hwan,Jaeho,Engineering Structures,"['Hybrid damper', 'Reinforced concrete frame', 'Seismic performance', 'Non-ductile detail', 'Energy dissipation', 'Ductility', 'Stiffness', 'Cyclic loading', 'Seismic resilience']"
87,Analysis of the seismic behavior of CFRP-strengthened seismic-damaged composite steel-concrete frame joints,March 2020,Chengxiang,Sheng,Journal of Building Engineering,"['Carbon fiber-reinforced polymer (CFRP) sheets', 'Composite steel-concrete frame joint', 'Seismic damage degree', 'CFRP reinforcement', 'Shear strength']"
88,Post-fire seismic performance of SRC beam to SRC column frames,June 2020,Guang-Yong,Chao,Structures,"['Steel reinforced concrete', 'Frame', 'Post-fire', 'Seismic performance', 'Hysteretic curve']"
89,Seismic fragility curves for vulnerability assessment of steel fiber reinforced concrete segmental tunnel linings,August 2018,Mohammad,Abdollah,Tunnelling and Underground Space Technology,"['SFRC', 'Segmental tunnel', 'Seismic vulnerability', 'Fragility curve']"
90,Seismic performance of concrete-infilled double steel corrugated-plate walls: Experimental research,15 July 2020,Jing-Shen,Yan-Lin,Engineering Structures,"['Steel corrugated plates', 'Composite walls', 'Seismic performance', 'Axial compression ratio', 'Shear span to depth ratio']"
91,The evaluation of structural properties of reinforced concrete building designed according to pre-modern code considering seismic performance,December 2015,Ali,Nevzat,Engineering Failure Analysis,"['Reinforced concrete buildings', 'Building stock', 'Seismic capacity', 'Earthquake code']"
92,"Performance evaluation of a reinforced concrete building strengthened respectively by the infill wall, active and passive tuned mass damper under seismic load",15 October 2019,Osman,Nakin,Computers & Structures,"['Tuned mass damper (TMD)', 'Active tuned mass damper (ATMD)', 'Linear quadratic regulator (LQR)', 'Masonry infill wall', 'Reinforced concrete (RC) building']"
93,Seismic risk analysis of multistory reinforced concrete structures in Saudi Arabia,December 2018,Yasser E.,NONE,Case Studies in Construction Materials,"['Fragility curves', 'IDA', 'Performance-based design', 'Building codes', 'Seismic risk analysis']"
94,Damage assessment of reinforced concrete moment resisting frames using performance-based seismic evaluation procedure,Available online 22 April 2020,Mohd.,Keshav K.,Journal of King Saud University - Engineering Sciences,"['Performance-based assessment procedures', 'Damage indices', 'Damage concepts', 'Damage assessment']"
95,Experimental investigation on seismic performance of corroded reinforced concrete moment-resisting frames,15 December 2017,Xiaojuan,Huanjun,Engineering Structures,"['Reinforced concrete moment-resisting frame', 'Electrochemically accelerated corrosion', 'Longitudinal reinforcement corrosion', 'Seismic performance', 'Corrosion effect']"
96,Seismic behavior of circular tubed steel-reinforced concrete column to steel beam connections,May 2019,Guozhong,Xuhong,Thin-Walled Structures,"['TSRC column', 'Connection', 'Seismic behavior', 'Design model', 'Joint strength']"
97,Data-driven machine-learning-based seismic failure mode identification of reinforced concrete shear walls,1 April 2020,Sujith,Hansol,Engineering Structures,"['Failure mode classification', 'Machine learning', 'Reinforced concrete shear wall', 'Critical input parameters']"
98,Experimental and numerical studies on seismic behavior of bonded and unbonded prestressed steel reinforced concrete frame beam,15 July 2018,Xueyu,Gangfeng,Engineering Structures,"['Prestressed steel reinforced concrete frame beam', 'Unbonded and bonded tendons', 'Seismic performance', 'Vertical cyclic loading']"
99,Effects of axial load on seismic performance of reinforced concrete walls with short shear span,15 November 2017,D.T.W.,R.K.L.,Engineering Structures,"['Reinforced concrete', 'Short shear span', 'Shear walls', 'Seismic behaviour', 'Axial load collapse']"
100,Seismic behavior of low-corroded reinforced concrete short columns in an over 20-year building structure,March 2018,Gao,Hui,Soil Dynamics and Earthquake Engineering,"['Reinforced concrete column', 'In-service', 'Quasi-static cyclic test', 'Seismic behavior', 'Corrosion', 'Shear strength']"
101,Seismic performance of fiber-reinforced concrete interior beam-column joints,1 November 2016,Xing-wen,Ying-jun,Engineering Structures,"['Beam-column joint', 'Fiber-reinforced concrete', 'Quasi-static test', 'Seismic performance', 'Numerical simulation']"
102,Experimental study of a reinforced concrete bridge pier strengthened with HPFRC jacketing,1 May 2020,Adriano,Alessandro,Engineering Structures,"['Bridge pier', 'Structural rehabilitation', 'Seismic retrofitting', 'High performance fibre reinforced concrete', 'Jacketing']"
103,Numerical investigation on the influences of different factors on the seismic performance of TRC-strengthened RC columns,July 2020,Yao,Shiping,Journal of Building Engineering,"['Textile-reinforced concrete (TRC)', 'Reinforced concrete (RC) column', 'Axial compression ratio', 'Shear span ratio', 'Concrete strength grade', 'Seismic performance']"
104,Evaluation of deformation-based seismic performance of RECC frames based on IDA method,15 May 2020,Chang,Zuanfeng,Engineering Structures,"['Reinforced engineered cementitious composites (RECC)', 'Frames', 'Seismic performance', 'Performance-based Seismic Design (PBSD)', 'Incremental Dynamic Analysis (IDA)']"
105,"Seismic fragility assessment of existing reinforced concrete buildings in Patna, India",October 2020,Pratyush,Avik,Structures,"['Aleatory and epistemic uncertainty', 'Capacity spectrum', 'Ground motion', 'Pushover analysis', 'Variability function', 'Fragility curve', 'Vulnerability assessment']"
106,Seismic Performance Evaluation of Asymmetric Reinforced Concrete Tunnel Form Buildings,May 2017,Seyed Bahram,Mohammad Javad,Structures,"['Reinforced concrete tunnel form structures', 'Response modification factor', 'Asymmetric plan', 'Incremental dynamic analysis', 'Performance based earthquake engineering']"
107,Seismic behavior of exposed concrete filled steel tube column bases with embedded reinforcing bars: Experimental investigation,March 2019,Qi-yun,Wen-wen,Thin-Walled Structures,"['Exposed CFST column base', 'Reinforcing bars', 'Base plate type', 'Seismic behavior', '-']"
108,Performance of reinforced concrete buildings and wooden structures during the 2015 M,August 2019,Sophia C.,Mohammadreza,Engineering Failure Analysis,"['Sabah earthquake', 'Reinforced concrete structures', 'Wooden structures', 'Seismic performance', 'Seismic vulnerability']"
109,Seismic performance of pre-cast self-insulation shear walls made by a new type of foam concrete with high strength and low thermal conductivity,April 2020,Jie,Zhongfan,Structures,"['High-strength low thermal conductivity foam concrete (HLFC)', 'Compressive strength', 'Pre-cast shear wall', 'Seismic performance', 'Load-bearing capacity']"
